R_death_2018,Less than a high school diploma 2014-18,Employed_2018,anycondition_prevalence,Active Patient Care General Surgeons per 100000 Population 2018 (AAMC),Percent of Population Aged 60+,Internal Medicine Primary Care (2019),POP_ESTIMATE_2018,Civilian_labor_force_2018,Family Medicine/General Practice Primary Care (2019),R_birth_2018,Total Specialist Physicians (2019),30-39,60-69,Asian-alone pop,80+,CI90LBINC_2018,anycondition_number,40-49,Obesity_prevalence,Heart disease_prevalence,Some college or associate's degree 2014-18,Median_Household_Income_2018,Active Patient Care Primary Care Physicians per 100000 Population 2018 (AAMC),70-79,Active General Surgeons per 100000 Population 2018 (AAMC),Active Primary Care Physicians per 100000 Population 2018 (AAMC),High school diploma only 2014-18,Total Active Patient Care Physicians per 100000 Population 2018 (AAMC),Two or more races pop,19-Oct,Total nurse practitioners (2019),R_INTERNATIONAL_MIG_2018,COPD_prevalence,diabetes_prevalence,Bachelor's degree or higher 2014-18,N_POP_CHG_2018,Unemployed_2018,50-59,R_NET_MIG_2018,GQ_ESTIMATES_2018,CI90UBINC_2018,R_DOMESTIC_MIG_2018,COPD_number,Population Aged 60+,Total physician assistants (2019),CKD_prevalence,Native American/American Indian-alone pop,Hawaiian/Pacific Islander-alone pop,0-9,Black-alone pop,county_pop2018_18 and older,White-alone pop,Heart disease_number,20-29,diabetes_number,Active Physicians per 100000 Population 2018 (AAMC),Total Hospitals (2019),CKD_number
10.8,315,807,50.4,5.4,33.3,0.809339609,2139,841,0.716332626,8.5,2.526242546,178,352,4,189,31920,887,193,34.9,11.2,493,35881,66.5,320,6.2,72.9,603,199.9,22,223,0.737795776,5,9.2,16.7,305,18,34,296,205,41,39842,257,163,708,0.435448557,4.3,35,0,198,35,1761,2043,198,190,295,224.8,0.038976484,75
15.0,1177,3282,58.1,6.3,33.4,5.609084508,9017,3461,4.026884076,8.6,15.99126297,777,1660,17,601,30806,4253,904,40.4,13.5,1802,34367,79.0,1204,7.0,86.6,3079,236.3,186,998,5.029189652,46,14.9,17.9,842,-186,179,1319,370,123,37928,346,1095,3114,0.978756546,4.7,97,0,832,19,7324,8698,986,722,1309,273.1,0.179561351,346
9.8,996,4434,51.4,5.0,23.2,4.405899106,9475,4604,2.813405453,10.6,9.636147868,1428,1161,114,422,52708,3901,1145,34.3,8.3,2336,58942,65.0,737,5.6,72.3,2681,185.8,259,1019,2.626053259,4,8.8,11.7,1053,-124,170,1301,370,1301,65176,380,671,2291,1.651821848,3.2,480,19,1033,483,7591,8120,630,1229,889,213.5,0.137391609,242
7.7,35551,281072,36.7,6.6,19.1,315.2501729,550210,288814,343.7844809,14.0,920.0598359,82235,59675,84087,20177,60948,154874,60477,30.3,5.6,97990,62937,96.0,31872,7.4,104.9,75283,265.0,19947,69332,282.4013991,60,4.6,9.4,150759,4692,7742,65621,220,17442,64926,315,19505,102817,177.6775469,2.7,5262,519,74052,69551,421978,370844,23497,86769,39594,302.7,12.45311725,11261
8.5,20514,143095,41.2,6.2,21.0,124.0101563,295032,147320,135.8482807,11.0,374.4096998,39143,34992,6428,9833,57764,93304,38833,31.3,6.7,60690,60627,72.3,20873,7.0,80.1,56407,205.0,5554,38352,123.081676,44,7.2,11.1,59163,4214,4225,40313,240,2340,63490,261,16289,59280,60.87349274,2.9,1560,440,36181,45620,226738,235430,15260,36512,25111,229.5,4.004071495,6683
6.9,272865,922251,45.3,6.2,15.6,1227.684168,2171603,961030,834.339936,14.1,3226.410868,302440,203132,168410,54810,61644,725284,268000,34.7,5.8,436563,63310,87.1,108068,7.2,96.2,352296,243.8,76822,319398,846.1979059,14,6.0,12.8,270028,18400,38779,262251,165,37611,64976,0,95615,330448,434.6275348,3.1,44935,10339,313371,204553,1599325,1666544,93262,340133,204266,279.6,19.70838512,49429
10.5,124483,704955,41.2,6.0,29.1,808.9216863,1485941,731004,577.6517087,10.0,2030.362038,172925,182752,43551,113753,60307,494930,177484,29.3,8.7,295287,61735,80.1,153797,6.9,86.8,258521,240.7,27198,163691,862.2916811,80,8.5,13.6,376461,15603,26049,199269,246,21625,63163,232,102154,414928,425.0763117,3.6,8715,1623,151868,292762,1202485,1112092,104031,170402,163990,265.2,15.13893971,43465
9.0,10334,82631,43.8,7.1,21.7,85.639268,163129,85397,91.92471886,12.0,258.068266,20353,19725,2285,6661,54812,55000,19958,34.6,7.0,35451,57675,86.4,11557,7.9,94.6,39833,238.3,3972,21849,85.33060747,1,6.9,10.4,23850,809,2766,23063,359,2694,60538,104,8680,34912,51.63048923,3.0,897,105,19981,8617,125428,147253,8720,19982,13020,264.9,3.73198645,3784
11.5,213,1977,46.9,6.2,29.3,1.636687075,3532,2026,2.306740173,11.0,5.025398234,368,549,4,256,43776,1287,363,38.1,8.1,880,47279,80.3,245,6.8,88.2,915,214.5,43,441,1.913129747,35,7.9,11.5,496,-44,49,535,464,143,50782,124,216,1046,1.504873351,3.3,27,1,417,17,2741,3440,221,358,317,239.2,0.170259394,90
5.6,68,713,41.2,8.6,26.4,0.479929951,1249,731,0.765905909,12.9,1.35626222,147,190,3,58,49280,395,138,33.3,7.6,306,55017,84.8,82,9.2,92.8,300,219.1,25,153,0.669636775,25,6.2,10.2,238,8,18,185,16,29,60754,288,59,338,0.571951918,3.0,29,0,160,12,959,1180,73,136,98,240.4,0.080696186,29
