R_death_2018,Less than a high school diploma 2014-18,Employed_2018,anycondition_prevalence,Active Patient Care General Surgeons per 100000 Population 2018 (AAMC),Percent of Population Aged 60+,Internal Medicine Primary Care (2019),POP_ESTIMATE_2018,Civilian_labor_force_2018,Family Medicine/General Practice Primary Care (2019),R_birth_2018,Total Specialist Physicians (2019),30-39,60-69,Asian-alone pop,80+,CI90LBINC_2018,anycondition_number,40-49,Obesity_prevalence,Heart disease_prevalence,Some college or associate's degree 2014-18,Median_Household_Income_2018,Active Patient Care Primary Care Physicians per 100000 Population 2018 (AAMC),70-79,Active General Surgeons per 100000 Population 2018 (AAMC),Active Primary Care Physicians per 100000 Population 2018 (AAMC),High school diploma only 2014-18,Total Active Patient Care Physicians per 100000 Population 2018 (AAMC),Two or more races pop,19-Oct,Total nurse practitioners (2019),R_INTERNATIONAL_MIG_2018,COPD_prevalence,diabetes_prevalence,Bachelor's degree or higher 2014-18,N_POP_CHG_2018,Unemployed_2018,50-59,R_NET_MIG_2018,GQ_ESTIMATES_2018,CI90UBINC_2018,R_DOMESTIC_MIG_2018,COPD_number,Population Aged 60+,Total physician assistants (2019),CKD_prevalence,Native American/American Indian-alone pop,Hawaiian/Pacific Islander-alone pop,0-9,Black-alone pop,county_pop2018_18 and older,White-alone pop,Heart disease_number,20-29,diabetes_number,Active Physicians per 100000 Population 2018 (AAMC),Total Hospitals (2019),CKD_number
7.8,2027,20909,37.9,6.6,18.6,23.23079962,40545,21666,25.33349408,13.7,67.79925128,6192,3961,478,1700,55456,11491,4839,32.8,6.0,10274,61341,96.0,2203,7.4,104.9,8233,265.0,805,5315,20.81017198,40,5.5,9.0,5979,418,757,5197,173,1049,67226,183,1680,7326,13.09306654,2.7,265,12,5772,1856,30290,37129,1822,5366,2725,302.7,0.917670778,812
12.3,2893,6534,56.0,6.7,25.0,7.249997489,18365,6927,6.745756781,12.6,20.79070527,2001,2275,71,931,32896,7692,2124,42.5,10.1,3915,36761,61.2,1543,7.1,65.9,3862,174.8,141,2589,12.82739166,12,11.1,17.0,1679,-117,393,2290,229,358,40626,349,1530,4680,0.65797263,4.2,63,4,2462,7955,13744,10131,1382,2150,2332,191.3,0.608778415,582
6.5,9090,80679,45.3,7.4,13.1,109.1198757,205950,83866,75.62643187,16.7,307.3426553,33093,15734,4983,3902,52693,68403,24020,36.6,5.6,43848,56102,77.8,8435,8.1,85.1,35180,225.8,9615,27558,174.8595054,3,7.1,10.8,32983,5935,3187,21325,133,3844,59511,411,10643,25156,36.26174851,2.5,1527,924,32669,42856,150965,146045,8384,39214,16257,253.1,3.498406945,3714
12.5,214,2857,44.8,6.2,30.5,2.42769071,5239,2922,3.42157751,11.5,7.454151004,539,748,17,424,47792,1803,478,35.2,8.5,1443,51911,80.3,456,6.8,88.2,1262,214.5,40,638,2.837736903,6,7.6,11.1,756,-90,65,733,456,102,56030,457,307,1632,2.232171995,3.4,16,1,674,25,4023,5140,343,549,448,239.2,0.252545007,135
11.5,123,966,46.6,6.3,30.8,0.752425292,1818,991,1.117086181,12.0,2.380910903,189,264,47,154,48251,655,169,35.8,8.7,542,54058,80.5,163,6.8,88.0,271,206.5,29,233,1.025296539,32,8.0,12.8,371,-31,25,268,46,14,59865,394,112,577,0.519516882,3.4,11,0,213,23,1405,1708,123,165,180,227.6,0.086794287,48
7.0,4835,24950,42.3,5.8,19.7,40.58302962,53577,26473,25.45743045,10.5,89.9209932,6018,5847,822,1905,67849,17040,7211,32.5,7.0,9671,74507,87.2,3926,7.0,99.6,12308,240.5,1256,8382,20.8697105,12,8.0,10.7,8113,65,1523,7569,209,310,81165,160,3209,10544,10.47900837,3.0,416,51,6407,1509,40294,49523,2836,6312,4300,284.4,0.786346134,1195
11.2,959,3726,54.0,7.6,23.5,3.763565812,8515,3893,3.620645591,11.5,12.3025726,938,1076,52,297,45825,3576,1144,38.9,10.2,1500,51674,72.9,714,8.3,77.3,2846,214.6,119,1065,5.591039034,7,12.9,15.1,720,-50,167,1279,343,41,57523,148,852,2046,1.878924501,3.5,65,7,1000,69,6626,8203,679,1002,1000,230.9,0.200088309,230
11.3,280,2334,48.4,6.3,26.6,1.850850333,4472,2396,2.747859956,10.8,5.856674126,513,714,23,238,42568,1668,401,40.0,9.6,1265,47634,80.5,468,6.8,88.0,1151,206.5,91,523,2.522071575,0,9.7,14.0,605,-111,62,609,376,40,52700,384,334,1307,1.277931517,3.7,61,1,576,41,3448,4255,332,430,482,227.6,0.213500578,127
13.7,8243,39146,44.9,6.5,29.3,29.57684869,99154,40797,55.43602897,10.8,119.6562833,10944,14462,868,5741,39941,35568,11125,31.5,10.3,26033,43610,75.0,10717,7.0,79.9,22357,188.2,2492,11211,42.93413519,12,10.3,14.1,14335,710,1651,13137,111,2167,47279,114,8149,28731,6.876041575,3.8,756,69,10806,8666,79213,86303,8198,11011,11133,207.6,2.8951754,2980
14.0,1366,5034,51.9,6.3,30.1,5.953803645,11938,5225,5.226396844,10.6,16.47106884,1159,1716,39,664,37104,4904,1333,37.1,10.6,2555,41382,81.7,1205,7.3,90.3,3705,231.8,225,1405,6.276161187,0,11.5,17.0,870,-144,191,1835,336,175,45660,258,1085,3671,2.946067623,4.3,44,2,1347,3356,9447,8272,1000,1274,1603,263.2,0.134549235,410
11.0,1053,2165,58.6,9.2,30.6,3.920577329,7254,2417,4.985078346,8.9,11.25960887,743,1212,12,417,32441,3451,868,38.9,13.2,1164,36384,89.4,785,10.5,100.1,2655,231.6,76,742,3.783999841,0,16.3,18.1,605,-68,252,1104,264,22,40327,22,959,2279,2.683345959,4.2,26,3,734,25,5886,7112,780,649,1064,263.4,0.224951158,249
15.5,22957,80508,47.4,6.1,35.9,97.15395183,209550,85442,78.57051924,8.4,270.8330765,19963,36643,2599,14312,42534,82338,19701,28.6,11.2,58539,45129,73.2,30738,6.9,78.1,54288,224.0,5053,20657,99.43305205,43,11.1,14.2,20104,2436,4934,28294,87,4635,47724,91,19296,73559,56.68531325,4.3,6331,527,18723,2709,173811,192331,19531,20519,24750,242.0,2.425196391,7559
13.3,443,792,59.0,6.1,31.0,1.366179016,2887,858,0.93612628,7.9,3.509581609,315,488,14,178,27017,1357,269,43.0,13.4,647,30239,71.9,359,7.0,79.1,927,202.9,23,337,1.321444749,11,14.5,23.9,173,-75,66,356,271,58,33461,266,333,937,0.913073038,5.9,11,3,306,1748,2299,1088,308,279,550,228.7,0.039794286,136
6.7,1738,11044,38.5,5.5,17.5,6.04475125,27259,11416,14.32714821,17.3,21.67719278,3617,2697,853,802,45890,7817,2579,32.4,6.7,7346,49344,68.9,1657,5.8,73.9,4582,181.6,1041,3434,10.69097393,25,6.9,10.7,2690,459,372,3007,113,620,52798,330,1406,4586,9.603229492,3.0,458,110,4190,927,20305,23870,1367,5276,2163,192.6,0.699264283,600
7.9,947,3012,51.2,5.4,27.2,2.660718152,7032,3160,2.354956066,11.0,8.30506666,769,888,65,410,40015,2785,722,38.0,10.0,1576,44821,66.5,760,6.2,72.9,1799,199.9,138,911,2.425516548,16,8.8,17.1,578,-167,148,941,453,128,49627,396,477,1985,1.431544767,4.2,74,3,868,450,5437,6302,546,763,929,224.8,0.128135874,226
9.6,22944,60128,47.4,6.7,19.5,119.8147436,150972,64289,45.89226673,11.7,265.5243852,20756,16206,2243,5801,47687,54441,19335,39.8,8.0,25708,51790,87.5,10001,7.6,97.7,40015,271.0,4562,19545,93.49617265,22,8.4,13.4,15244,-776,4161,19465,43,9974,55893,345,9704,30141,31.55517011,3.5,2466,204,19924,32994,114865,108503,9243,19939,15390,306.5,1.389647663,4018
12.0,1960,3586,57.8,6.7,20.0,4.158928589,10535,3845,3.869673166,15.0,11.92649496,1268,1298,28,452,28902,4607,1131,45.5,9.7,1863,32167,61.2,730,7.1,65.9,2269,174.8,83,1373,7.358375774,12,10.8,19.2,952,-197,259,1358,435,157,35432,437,862,2193,0.377443053,4.5,33,3,1453,7593,7966,2795,770,1472,1526,191.3,0.349223011,358
